Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS
Duke,126.7,90.4,0.98,15–0,15,15,58,44.9,36.3,21.6,15.8,20,38.9,24.1,68,61.3,43.4,35.9,31.2,12.2,8.2,58.7,52.8,44.3,44.8,67.7,79.384,81.378,0.856,"2,026",0,0,91.161,72.7,72.6,1.254,0.889,21.772
Arizona,124.5,88.9,0.98,16–1,16,17,57,42.6,45.3,26.7,15.8,17.9,38.9,24.8,72,58.2,40.9,36.1,30.2,11.6,7.1,61,48.1,28.7,37.6,71.5,79.009,81.866,1.406,"2,026",0,0,73.506,74.5,69.9,1.237,0.889,19.84
Michigan,129.3,89.9,0.985,14–1,14,15,61.4,44.7,41.2,25.6,16.1,16.7,35.5,24.2,73.2,66.9,45.3,36.5,29.3,15.7,6.9,59.2,42.6,44.6,44.9,74,78.647,82.701,1.947,"2,026",0,0,69.852,73.3,74.6,1.269,0.925,24.601
Florida,123.2,91,0.97,14–1,14,15,53.5,45.6,39.1,30.6,15.3,16.7,48,20.9,73.3,58.5,43.9,29.7,32.6,12.8,5.8,51.2,40,35.7,34.9,71.8,78.89,83.084,1.928,"2,026",0,0,41.689,68.2,70.7,1.241,0.939,20.638
Houston,123.7,88.7,0.979,15–1,15,16,53.8,44.4,28.6,31.8,12.9,25.3,36.8,29.4,65.5,55.7,42.9,34,31,13.3,5.6,56,54.5,40.2,40.8,65.1,77.851,80.772,1.553,"2,026",0,0,81.968,78.1,71.4,1.226,0.867,18.254
Connecticut,121.7,93.6,0.953,15–2,15,17,55.3,43.4,34,41.2,14.8,18.8,34.9,27.1,66.5,57.7,40.8,34.4,32.1,16.3,8.5,66.9,45.9,39,35.7,66.3,78.303,81.367,1.997,"2,026",0,0,84.266,70.8,73.8,1.191,0.935,18.33
Iowa St.,126.2,95.3,0.962,16–1,16,17,59.2,50.3,38.9,25.2,13.7,23.3,36.2,22.3,68.1,58.4,50.7,40.3,33.2,9.4,8.5,60.8,52.2,39.4,44.1,68.7,78.06,81.398,1.944,"2,026",0,0,50.469,66.6,73,1.265,0.921,19.126
Purdue,130.5,103.4,0.936,12–5,12,17,59.6,53.6,29.3,24.3,13.4,16.8,35.9,27.5,67.1,60.3,53.3,39,35.9,10.6,5.5,66.2,58.4,38.2,46.5,67.2,77.603,82.136,2.015,"2,026",0,0,59.3,74.6,73.8,1.264,1.084,28.067
Michigan St.,120.7,91.5,0.96,15–2,15,17,53.1,46.6,42.8,29.6,17.4,15.1,40.9,22.9,67.6,55.4,47.4,32.7,30.5,13.3,7.1,70.5,55.6,36.1,45.7,67.7,78.478,81.667,1.815,"2,026",0,0,68.794,75.1,73.5,1.185,0.977,28.913
Illinois,129.3,97,0.965,14–3,14,17,56.5,46.1,30.9,15,13.5,11,40.3,23.7,66.6,60.3,46.3,35.2,30.5,12.1,8,50,46.9,50.7,39.8,66.9,79.989,83.215,1.548,"2,026",0,0,63.056,77.6,71.8,1.282,0.98,21.366
Gonzaga,115.9,88.3,0.958,15–0,15,15,57.7,41.9,29.1,28.8,13.5,23.3,34.5,24.5,71.6,60.7,44,33.7,26.1,13.9,3.9,50.9,43.6,29.5,43.1,71.1,77.91,80.557,2.11,"2,026",0,0,36.781,67.6,73,1.218,0.833,11.928
Virginia,123.8,96.1,0.949,16–1,16,17,57.5,44.4,33.3,28.8,14.8,17.5,40.2,29.8,66.1,58.6,44.1,37.5,29.8,19.9,9.7,63.9,54.1,45.8,39.2,66.5,78.069,82.109,1.724,"2,026",0,0,53.814,69.8,76.7,1.26,0.97,13.323
Nebraska,114,91.2,0.929,16–2,16,18,55.3,44.3,28.4,22.7,14.2,20,26.4,27.7,67.3,57.2,45.7,35.7,28.6,10.3,10,68.1,58.3,52.1,48.9,67.8,77.645,80.688,2.26,"2,026",0,0,42.458,75,67.8,1.148,0.903,20.089
Alabama,132.2,102.4,0.95,12–3,12,15,56.4,49,36.3,35.2,12.2,14,34.5,31.4,73.1,59.9,48.6,35.8,33.2,12,11,56.3,45.8,56.5,38,72.9,77.921,81.103,1.526,"2,026",0,0,73.555,75.5,69.1,1.263,1.09,26.422
Kansas,122.5,91,0.968,14–2,14,16,56.2,44.4,33.7,22.7,14.9,16.2,28.9,29.4,68.8,56.8,43.3,36.7,30.7,17.9,9.7,53.9,45.4,35.2,41.3,69.8,78.153,80.749,1.629,"2,026",0,0,57.848,74.8,64.5,1.169,0.949,27.972
Arkansas,128.9,100.7,0.945,17–1,17,18,59.2,49.2,39.5,30.4,11,16.2,31.9,29.4,73.1,58.8,52,40,30,14,5.2,56.6,50.3,34.7,40.1,72.3,78.516,81.43,1.457,"2,026",0,0,80.525,77.6,68.8,1.29,1.032,19.755
Vanderbilt,126,97.3,0.951,13–3,13,16,56.3,46.8,38.1,39.2,11.8,17.7,33,29.5,71.4,59.9,48.3,34.6,29.6,15.3,7.1,55.4,39.2,44.9,39.2,70.4,77.259,79.921,2.308,"2,026",0,0,35.964,77.8,73.9,1.25,1.015,22.93
St. John's,116.3,91.5,0.94,15–2,15,17,51.5,46.2,43.6,29.3,15.8,20.7,37.7,26.8,73.2,53.7,46.5,31.4,30.4,13.9,8.8,59.6,46,33.1,33.3,72.5,78.154,80.478,2.3,"2,026",0,0,70.084,73.2,63.8,1.15,0.909,17.259
Texas Tech,126.3,99.5,0.94,14–2,14,16,56.2,47.7,32.6,26.7,14.5,17,38,29,68.7,53.3,48.9,39.6,30.4,12,5.7,55.7,36.3,47.9,36.9,67.3,77.015,79.481,1.601,"2,026",0,0,41.675,74,71.2,1.246,1.002,18.638
Wisconsin,126.6,99.2,0.943,15–2,15,17,56.2,47.7,39.2,30.2,12.2,15.5,30.2,26.5,69,59.2,49.8,35.6,29.8,8.3,9.2,56.5,46.7,51.6,40.2,70.3,78.87,82.484,1.871,"2,026",0,0,38.623,79.8,71.5,1.24,1.008,19.82
Tennessee,122.3,94.4,0.952,14–3,14,17,54.2,45.7,40.6,34.8,17.2,17.6,49.7,26.7,68.4,56.4,46.3,33.3,30,12.6,6.3,63.6,47,34,47.5,67,78.434,82.266,1.473,"2,026",0,0,59.748,71.6,68.1,1.235,0.959,20.417
North Carolina,122.2,95.3,0.946,18–0,18,18,56.6,44.2,42,20.4,13.9,14.2,32.1,27.5,69.6,58.5,42,36.2,31.7,9.4,7.7,59,45.5,43.5,39.8,69.8,79.15,82.728,1.523,"2,026",0,0,63.835,69.4,69.3,1.201,0.955,19.108
Louisville,123.8,95.1,0.954,15–2,15,17,58.5,45.8,34.6,28.3,16,18.7,34.3,24.3,73,61,44.7,37.6,31.5,8.4,11.7,63,42.6,54,39.8,72.3,78.246,81.646,2.208,"2,026",0,0,39.12,76.1,71.1,1.245,0.925,17.793
BYU,126,104.6,0.895,12–3,12,15,56.1,50.5,37.5,22.4,14.1,16.4,36.4,26.3,70.1,57.2,48.5,36.3,35.7,12.2,6.5,50.8,56.9,41.4,39.2,70.4,78.108,80.916,1.463,"2,026",0,0,48.949,74.9,75,1.25,1.032,24.614
Kentucky,122.5,97.9,0.929,14–4,14,18,57.3,45.7,37.8,32.5,14,16.6,35.8,27.3,68.9,57.9,47.9,37.5,28.2,12.6,7.2,61,56.1,39.5,40.1,69,78.765,81.87,1.581,"2,026",0,0,85.092,73.4,73.8,1.246,0.986,21.957
Saint Mary's,123.4,96.8,0.942,16–0,16,16,56,44.4,36.4,24,16.4,15.1,41.5,22.6,66.7,50.7,44.6,42.7,29.4,11.6,9.5,68.5,59.7,39.4,38.6,66.3,78.715,82.369,1.349,"2,026",0,0,36.989,80.4,73.9,1.244,0.941,11.575
Miami FL,119.9,103.3,0.847,15–3,15,18,58.1,50.2,40.3,30.2,14.4,19.4,38.1,25.1,70.5,61.1,49.1,34.4,34.5,10,7.1,58.2,57.1,32.1,40.5,69.9,78.417,81.492,1.67,"2,026",0,0,80.783,68.8,66.9,1.246,0.98,11.729
