Team,KADJ O,KADJ D,KADJ T,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS
Duke,128,89.1,65.3,128.149,90.825,0.981,32–2,32,34,56.8,46.2,37.8,23.7,15.7,18.1,38.1,24.8,67.1,60.1,46.6,35.1,30.4,10.4,9.3,59.2,51.4,44.4,45.7,65.803,79.384,81.378,0.856,"2,026",0,0,91.161,72.4,71.7,1.226,0.941,38.433
Arizona,127.7,90,69.8,126.933,91.399,0.978,32–2,32,34,55.1,45,42.9,27.7,15.1,16.7,38.1,26.9,71.4,55.4,43.8,36,31.4,10.8,8.3,55.4,48.9,26.8,37.2,70.027,79.009,81.866,1.406,"2,026",0,0,73.506,73.4,71.5,1.203,0.961,38.751
Michigan,126.6,89,70.9,127.634,91.047,0.98,31–3,31,34,58.1,44.7,37.7,26.3,16.7,15.5,35.4,27.7,71.3,61,44.3,36,30.2,15.9,9.4,60.7,46.7,41.8,41.8,71.216,78.647,82.701,1.947,"2,026",0,0,69.852,74.7,75.1,1.213,0.967,41.856
Florida,125.5,91.7,70.5,126.11,92.272,0.973,26–7,26,33,53.5,46.3,39.1,34,16.5,15.4,43.2,24.8,72.5,57.9,45.2,30.8,32.4,12.4,7.2,54,44.5,37.1,33.7,70.398,78.89,83.084,1.928,"2,026",0,0,41.689,71,72.7,1.198,0.994,39.255
Houston,124.9,91.4,63.3,125.376,92.398,0.971,28–6,28,34,52.1,46.6,26.9,39,13,21,35.9,30.9,64.9,51.9,45.5,34.9,32.1,12.5,6.4,52.9,53.5,40.8,40.9,63.325,77.851,80.772,1.553,"2,026",0,0,81.968,77.2,69.8,1.184,0.965,36.826
Connecticut,122,94.1,64.4,123.091,94.966,0.952,29–5,29,34,55.3,45.7,30,40.2,16.8,18,35.7,28.7,66,57.1,45.8,35.2,30.3,15.2,9.7,65,48.5,40.3,36.2,64.583,78.303,81.367,1.997,"2,026",0,0,84.266,71.6,71.9,1.165,0.979,33.294
Iowa St.,123.8,91.4,66.5,123.777,92.639,0.966,27–7,27,34,56.5,49.5,34,27.9,15.1,22.4,35.3,28.1,68.2,55.5,50.5,38.7,32.1,8.6,9.6,58.4,54.5,38.8,42.8,66.962,78.06,81.398,1.944,"2,026",0,0,50.469,67.2,71.5,1.2,0.956,35.368
Purdue,131.6,100.4,64.4,133.288,100.251,0.964,27–8,27,35,57.6,52.3,28.6,26,13.5,15.6,36.3,26.4,65.3,58.1,53.1,37.9,34.2,8.9,6.6,66.8,57.5,40.9,45,64.436,77.603,82.136,2.015,"2,026",0,0,59.3,74.3,72,1.247,1.071,41.305
Michigan St.,123,94.7,66,122.89,96.16,0.944,25–7,25,32,53.6,48.6,36.2,30.9,17.1,14.8,38.5,22.6,66.8,53.4,48,35.9,32.9,13.3,8.1,67,56.4,36.4,46,65.981,78.478,81.667,1.815,"2,026",0,0,68.794,76.3,75.1,1.173,1.017,37.86
Illinois,131.2,99.1,65.5,131.949,98.207,0.968,24–8,24,32,55.1,47.6,32.9,20.6,13.2,11.6,38.7,27,66.2,58.2,48,34.7,31.4,12.6,8.5,51.2,51.4,50.7,42.2,65.718,79.989,83.215,1.548,"2,026",0,0,63.056,78.9,73.4,1.255,1.038,38.28
Gonzaga,122,93.9,68.6,120.281,94.018,0.944,30–3,30,33,56.3,46.2,31.1,31,13.7,20.5,34.8,25.9,70.4,58.7,46.2,34,30.8,11.4,6,56.7,52.9,31,43.7,68.932,77.91,80.557,2.11,"2,026",0,0,36.781,69.9,71.3,1.205,0.934,24.986
Virginia,122.5,95.8,65.7,122.248,95.829,0.943,29–5,29,34,54.6,45.3,33,33,16,15.6,37.9,29.2,66.5,55.2,44.7,35.9,30.9,17.5,9.6,59.1,50.3,46.5,37.5,65.578,78.069,82.109,1.724,"2,026",0,0,53.814,72.6,75.8,1.191,1.01,30.582
Nebraska,124.1,104.5,69.1,117.254,93.483,0.931,26–6,26,32,55.4,47.8,27.2,24.8,14.4,19.2,26.3,27.7,67.3,58.1,50.6,35.3,29.9,8.7,9.3,65.6,60.5,50.7,49.3,66.821,77.645,80.688,2.26,"2,026",0,0,42.458,75,72.6,1.14,0.977,35.291
Alabama,129,103.3,73.1,129.499,102.788,0.934,23–9,23,32,55.4,49.2,37.2,32.7,13,12.6,31.8,32.8,74.6,57.3,48.6,35.8,33.5,11.3,12.1,53.5,46.7,53.7,35.1,73.059,77.921,81.103,1.526,"2,026",0,0,73.555,76.5,69.7,1.22,1.111,40.729
Kansas,118.3,93.9,67.6,117.869,94.383,0.928,23–10,23,33,51.6,45.2,32.6,27.7,15.5,14,29.5,30.1,68.2,51.1,44.7,35,30.7,15.6,8.3,53.3,48,35.7,42,67.61,78.153,80.749,1.629,"2,026",0,0,57.848,76.7,69.4,1.1,1.009,41.65
Arkansas,127.7,101.6,71,127.944,101.671,0.934,26–8,26,34,56.5,51.4,36.4,31.3,12.3,15.7,32.2,31.2,72.4,55.6,53.7,38.9,31.7,12.9,6.7,53,49.8,33.4,38.2,70.974,78.516,81.43,1.457,"2,026",0,0,80.525,74.7,72,1.225,1.091,38.371
Vanderbilt,126.8,99.3,68.8,127.446,99.333,0.946,26–8,26,34,55.3,48.8,38.2,41,13.3,17.9,31.2,31.6,70.8,56.8,49.1,35.5,32.2,12.6,7.1,56.2,46.6,43.6,37.9,68.982,77.259,79.921,2.308,"2,026",0,0,35.964,79.3,75.2,1.211,1.054,37.121
St. John's,120.1,94.2,69.6,119.836,94.124,0.941,28–6,28,34,51,47.4,41.9,31.8,14.7,19.4,35.9,30.2,71,51.6,47.5,33.2,31.3,12.4,9.5,58.2,47.2,33.8,33.7,69.604,78.154,80.478,2.3,"2,026",0,0,70.084,72.7,71.7,1.145,0.982,31.162
Texas Tech,125,99.8,66.2,126.292,98.788,0.944,22–10,22,32,56.2,49.4,27.1,31.6,15.9,14.7,33.3,30.1,68,53.6,50.6,39.3,31.5,9.5,7.3,55.5,41.5,48,35,66.408,77.015,79.481,1.601,"2,026",0,0,41.675,71.5,69.4,1.179,1.065,40.14
Wisconsin,125.3,102,68.7,127.176,101.641,0.929,24–10,24,34,54.5,51.3,31.9,30.5,12.8,14.4,29.4,28.2,68.9,54.8,52.3,36.1,33.3,8.5,12.5,57.3,50.6,52.6,40.2,68.694,78.87,82.484,1.871,"2,026",0,0,38.623,78.6,72.9,1.188,1.087,38.176
Tennessee,121.1,95,65,121.507,95.536,0.941,22–11,22,33,51.6,47.7,38.7,36.2,17.1,16.3,45.1,27.9,67.3,52.2,49.2,33.4,30.6,11.3,9.4,59.8,45.4,31.7,44.4,65.225,78.434,82.266,1.473,"2,026",0,0,59.748,69.4,70.3,1.168,1.019,38.555
North Carolina,118.5,92.4,66.7,121.468,100.053,0.903,24–8,24,32,54.6,48.2,37.4,23.8,14,13.6,31.4,28.1,68.8,56.7,46.1,34.5,34.5,8.6,9,57,48.1,42.3,36.9,67.986,79.15,82.728,1.523,"2,026",0,0,63.835,68.4,70.1,1.16,1.037,33.421
