Team,FG%,DUNKS FG%,DUNKS SHARE,DUNKS FG%D,DUNKS D SHARE,CLOSE TWOS FG%,CLOSE TWOS SHARE,CLOSE TWOS FG%D,CLOSE TWOS D SHARE,FARTHER TWOS FG%,FARTHER TWOS SHARE,FARTHER TWOS FG%D,FARTHER TWOS D SHARE,FG%,Share,FG%,Share
Duke,ACC,91.5,14.9,81.4,8.1,64.8,44.8,54.6,31,40.5,10.8,36,23.3,35.1,44.4,30.4,45.7
Arizona,B12,93.4,9,91.4,6.1,64.1,41.9,52.5,28.7,43.8,31.3,36.4,34.1,36,26.8,31.4,37.2
Michigan,B10,91.1,15.1,87.9,4.6,68.1,43.2,54.4,28.4,40.4,15,34.7,29.8,36,41.8,30.2,41.8
Florida,SEC,92.2,15.3,83.7,6.4,63.8,45.6,52.4,38.3,42.1,17.2,35.3,28,30.8,37.1,32.4,33.7
Houston,B12,95.5,8.8,92.1,7.2,67.7,24.9,56.9,32.8,40.4,34.3,31.3,26.3,34.9,40.8,32.1,40.9
Connecticut,BE,93,9.7,92.1,6.5,64.2,39.3,50.1,39.7,43.2,20.4,38.6,24,35.2,40.3,30.3,36.2
Iowa St.,B12,91.9,9.9,88.8,9.2,65.9,37.8,63.8,29.5,38.6,23.4,36.4,27.7,38.7,38.8,32.1,42.8
Purdue,B10,94.8,7.8,90.4,7.6,72.2,28.2,63.7,28.2,45.3,30.9,41.9,26.8,37.9,40.9,34.2,45
Michigan St.,B10,90.3,12.9,92.3,5.3,66.1,33.1,59.1,27.7,39.7,30.5,36.2,26.3,35.9,36.4,32.9,46
Illinois,B10,85.9,8,87.7,6.2,68,32.7,60,28.3,38.9,16.6,36.5,29.5,34.7,50.7,31.4,42.2
Gonzaga,WCC,88.6,8.5,78.6,5.2,66.9,40.4,57.2,29,47,28.6,34.5,27.3,34,31,30.8,43.7
Virginia,ACC,86.7,9.5,88,6,60.8,36.3,51.8,34.5,43.5,17.2,36.1,28,35.9,46.5,30.9,37.5
Nebraska,B10,91.4,3.8,88.5,6.4,69.7,32.7,65.4,24.6,35,16.5,36.8,26.1,35.3,50.7,29.9,49.3
Alabama,SEC,85.9,10.1,92.7,7.6,61.4,34.8,56.2,38,44.9,11.5,38,27,35.8,53.7,33.5,35.1
Kansas,B12,90.8,14.8,94.6,6.1,63.2,35.7,52.5,32.7,36,28.6,34.6,25.3,35,35.7,30.7,42
Arkansas,SEC,92,15.4,87.1,9.8,67.1,42.8,61.9,39.9,34.8,23.8,38.8,21.9,38.9,33.4,31.7,38.2
Vanderbilt,SEC,88.7,9,81.1,8.6,66,35.8,57.7,37,40.8,20.6,36.3,25.1,35.5,43.6,32.2,37.9
St. John's,BE,93.1,9.5,86.5,7.2,58.9,44.1,53.3,43,37,22.1,36.9,23.3,33.2,33.8,31.3,33.7
Texas Tech,B12,85.7,6.2,87.5,6.4,63.3,25.7,63.3,31.4,44.1,26.3,38.8,33.5,39.3,48,31.5,35
Wisconsin,B10,87,5.4,89.1,5.2,61.4,32.3,58.1,33.9,40.7,15.1,44.7,26,36.1,52.6,33.3,40.2
Tennessee,SEC,89.3,10.8,88.7,6.7,60.8,43.5,56.9,31.6,37.1,24.7,39,24,33.4,31.7,30.6,44.4
North Carolina,ACC,87.9,15.8,90.1,6.4,65.3,36.8,55,33.9,41.4,20.9,35.7,29.1,34.5,42.3,34.5,36.9
Louisville,ACC,88.1,12.4,92.5,7.8,64.7,36.9,60.3,32.2,41.8,10.3,35.5,28.7,35.7,52.8,32.7,39.1
BYU,B12,84.2,10.4,81.2,8,66.9,33.2,62.1,30,43,27,38.3,30.8,34.9,39.8,35.3,39.2
Kentucky,SEC,90.9,14.1,92.1,9.4,64.1,37.8,57.5,33.8,38.3,23,39.7,26.6,34.1,39.2,31.6,39.5
Saint Mary's,WCC,76.4,4.8,88.2,4.5,58,38.7,54,36.3,38.2,25.2,36.5,26.8,38.6,36.1,31.2,36.8
Miami FL,ACC,85.4,12.7,82.2,8,64.8,46.7,59.7,34.1,41,21.6,38.7,25,34.7,31.6,35.4,40.9
UCLA,B10,88.7,5.6,91.2,6.5,62.4,31.4,62.2,31.9,42.1,32.7,39.7,23.5,38.2,35.9,31.8,44.7
Clemson,ACC,87.6,8.9,93.3,5.7,58.9,36.9,56.7,34,44.4,20.2,37.6,23,34.1,42.9,32.6,42.9
Villanova,BE,77.4,6,88.6,7.6,62.4,35.4,60.1,37.9,39.4,19,38.7,25.2,35.3,45.7,33.9,36.9
Ohio St.,B10,90.6,7.7,91.1,8,67.5,31.2,61.4,31.8,48,28.7,41.9,27.8,36,40.1,31.6,40.3
Georgia,SEC,88.8,19,81.5,9.2,63.3,41.9,56.2,40.6,39.7,14.2,38.2,21.9,34.1,43.9,33.7,37.6
Utah St.,MWC,85.4,11.4,84.7,5.4,65,45.2,56.4,38.2,41.1,14.1,34.9,21,35.1,40.7,33.9,40.9
TCU,B12,87.2,7.4,90.2,6.9,59.1,39.1,58.6,38.4,39.5,24.1,39.2,23.5,33.2,36.8,33.7,38.1
Saint Louis,A10,91.7,5.7,88.9,4,62.6,47.1,48.6,37.5,36.5,7.8,37.3,20.9,40.5,45.1,30,41.6
Iowa,B10,90.4,10,87,7.8,66.5,39.3,65.9,37.8,42.6,19.1,34.7,23.1,35.7,41.6,33.7,39.1
Santa Clara,WCC,86.7,8.4,91.6,7.3,61.6,35.1,61.8,43.1,47.5,19.9,33.5,18.8,34.9,45,33,38.2
UCF,B12,94.2,6.5,85.7,6.7,60.8,39.2,60,36,39.2,26.4,43.3,24.3,36.2,34.4,34,39.7
Missouri,SEC,95.7,12,88.2,8,66.3,44.4,56.6,33.2,35.9,19.6,38.1,23.7,35,36,36.5,43.1
Texas A&M,SEC,85.5,6.9,87.3,9.5,58.5,41.5,61.5,36.7,39,12.2,38.9,21.8,36.2,46.3,31.7,41.5
North Carolina St.,ACC,87,8.9,94.3,8.3,61.3,38.7,58.7,38.9,34.7,17.4,38,15.8,38.8,43.9,35.6,45.3
Texas,SEC,87.8,10.8,88,8.3,63,39.9,58.8,39.1,42.4,24,37,27.7,34.9,36.2,36,33.3
SMU,ACC,82.3,9.8,88.2,8.6,64.5,34.8,61.1,32.3,44.8,29.2,37.6,20.5,37.4,36,33.9,47.2
Miami OH,MAC,96.2,5.6,93,3.8,68.2,39.9,58.2,38.2,44.1,15.4,41.6,25,37.5,44.6,33,36.8
VCU,A10,85.3,9.8,91,5.1,57.8,39.7,53.4,44.8,42.6,16.5,37.6,20.6,36.7,43.8,33.1,34.7
South Florida,Amer,82,13.6,81,6.6,55.6,46.8,54.1,35.7,33.3,9.4,36,24.8,33.1,43.8,33.9,39.5
McNeese St.,Slnd,94.7,9.5,83.3,5.6,58.4,45.5,55,35,39.8,19.4,37.6,18.3,31.6,35.1,32.5,46.8
